annee_numero_de_tirage;jour_de_tirage;date_de_tirage;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;combinaison_gagnante_en_ordre_croissant;combinaison_triee;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008081;LUNDI   ;06/10/2008;06/12/2008;19;33;41;24;27;9;19-24-27-33-41+9;19-24-27-33-41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008082;MERCREDI;08/10/2008;08/12/2008;24;48;32;41;22;1;22-24-32-41-48+1;22-24-32-41-48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008083;SAMEDI  ;11/10/2008;11/12/2008;46;22;10;39;20;4;10-20-22-39-46+4;10-20-22-39-46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008084;LUNDI   ;13/10/2008;13/12/2008;11;10;41;37;48;4;10-11-37-41-48+4;10-11-37-41-48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008085;MERCREDI;15/10/2008;15/12/2008;49;28;18;20;40;1;18-20-28-40-49+1;18-20-28-40-49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008086;SAMEDI  ;18/10/2008;18/12/2008;44;35;4;32;39;10;4-32-35-39-44+10;4-32-35-39-44;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008087;LUNDI   ;20/10/2008;20/12/2008;43;7;48;31;15;3;7-15-31-43-48+3;7-15-31-43-48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008088;MERCREDI;22/10/2008;22/12/2008;11;28;12;48;14;2;11-12-14-28-48+2;11-12-14-28-48;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008089;SAMEDI  ;25/10/2008;25/12/2008;13;11;22;46;19;3;11-13-19-22-46+3;11-13-19-22-46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2008090;LUNDI   ;27/10/2008;27/12/2008;46;37;44;4;6;2;4-6-37-44-46+2;4-6-37-44-46;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
